Brumal Solstice;2031-12-22
Vernal Equinox;2032-03-20
Aestival Solstice;2032-06-20
Autumnal Equinox;2032-09-22
Brumal Solstice;2032-12-21
Vernal Equinox;2033-03-20
Aestival Solstice;2033-06-21
Autumnal Equinox;2033-09-22
Brumal Solstice;2033-12-21
Vernal Equinox;2034-03-20
Aestival Solstice;2034-06-21
Autumnal Equinox;2034-09-22
Brumal Solstice;2034-12-21
Vernal Equinox;2035-03-20
Aestival Solstice;2035-06-21
Autumnal Equinox;2035-09-23
Brumal Solstice;2035-12-22
Vernal Equinox;2036-03-20
Aestival Solstice;2036-06-20
Autumnal Equinox;2036-09-22
Brumal Solstice;2036-12-21
Vernal Equinox;2037-03-20
Aestival Solstice;2037-06-21
Autumnal Equinox;2037-09-22
Brumal Solstice;2037-12-21
Vernal Equinox;2038-03-20
Aestival Solstice;2038-06-21
Autumnal Equinox;2038-09-22
Brumal Solstice;2038-12-21
Vernal Equinox;2039-03-20
Aestival Solstice;2039-06-21
Autumnal Equinox;2039-09-23
Brumal Solstice;2039-12-22
Vernal Equinox;2040-03-20
Aestival Solstice;2040-06-20
Autumnal Equinox;2040-09-22
Brumal Solstice;2040-12-21
Vernal Equinox;2041-03-20
Aestival Solstice;2041-06-20
Autumnal Equinox;2041-09-22
Brumal Solstice;2041-12-21
Vernal Equinox;2042-03-20
Aestival Solstice;2042-06-21
Autumnal Equinox;2042-09-22
Brumal Solstice;2042-12-21
Vernal Equinox;2043-03-20
Aestival Solstice;2043-06-21
Autumnal Equinox;2043-09-23
Brumal Solstice;2043-12-22
Vernal Equinox;2044-03-19
Aestival Solstice;2044-06-20
Autumnal Equinox;2044-09-22
Brumal Solstice;2044-12-21
Vernal Equinox;2045-03-20
Aestival Solstice;2045-06-20
Autumnal Equinox;2045-09-22
Brumal Solstice;2045-12-21
Vernal Equinox;2046-03-20
Aestival Solstice;2046-06-21
Autumnal Equinox;2046-09-22
Brumal Solstice;2046-12-21
Vernal Equinox;2047-03-20
Aestival Solstice;2047-06-21
Autumnal Equinox;2047-09-23
Brumal Solstice;2047-12-21
Vernal Equinox;2048-03-19
Aestival Solstice;2048-06-20
Autumnal Equinox;2048-09-22
Brumal Solstice;2048-12-21
Vernal Equinox;2049-03-20
Aestival Solstice;2049-06-20
Autumnal Equinox;2049-09-22
Brumal Solstice;2049-12-21
Vernal Equinox;2050-03-20
Aestival Solstice;2050-06-21
Autumnal Equinox;2050-09-22
Brumal Solstice;2050-12-21
Vernal Equinox;2051-03-20
Aestival Solstice;2051-06-21
Autumnal Equinox;2051-09-23
Brumal Solstice;2051-12-21
Vernal Equinox;2052-03-19
Aestival Solstice;2052-06-20
Autumnal Equinox;2052-09-22
Brumal Solstice;2052-12-21
Vernal Equinox;2053-03-20
Aestival Solstice;2053-06-20
Autumnal Equinox;2053-09-22
Brumal Solstice;2053-12-21
Vernal Equinox;2054-03-20
Aestival Solstice;2054-06-21
Autumnal Equinox;2054-09-22
Brumal Solstice;2054-12-21
Vernal Equinox;2055-03-20
Aestival Solstice;2055-06-21
Autumnal Equinox;2055-09-23
Brumal Solstice;2055-12-21
Vernal Equinox;2056-03-19
Aestival Solstice;2056-06-20
Autumnal Equinox;2056-09-22
Brumal Solstice;2056-12-21
Vernal Equinox;2057-03-20
Aestival Solstice;2057-06-20
Autumnal Equinox;2057-09-22
Brumal Solstice;2057-12-21
Vernal Equinox;2058-03-20
Aestival Solstice;2058-06-21
Autumnal Equinox;2058-09-22
Brumal Solstice;2058-12-21
Vernal Equinox;2059-03-20
Aestival Solstice;2059-06-21
Autumnal Equinox;2059-09-23
Brumal Solstice;2059-12-21
Vernal Equinox;2060-03-19
Aestival Solstice;2060-06-20
Autumnal Equinox;2060-09-22
Brumal Solstice;2060-12-21
Vernal Equinox;2061-03-20
Aestival Solstice;2061-06-20
Autumnal Equinox;2061-09-22
Brumal Solstice;2061-12-21
Vernal Equinox;2062-03-20
Aestival Solstice;2062-06-21
Autumnal Equinox;2062-09-22
Brumal Solstice;2062-12-21
Vernal Equinox;2063-03-20
Aestival Solstice;2063-06-21
Autumnal Equinox;2063-09-22
Brumal Solstice;2063-12-21
Vernal Equinox;2064-03-19
Aestival Solstice;2064-06-20
Autumnal Equinox;2064-09-22
Brumal Solstice;2064-12-21
Vernal Equinox;2065-03-20
Aestival Solstice;2065-06-20
Autumnal Equinox;2065-09-22
Brumal Solstice;2065-12-21
Vernal Equinox;2066-03-20
Aestival Solstice;2066-06-21
Autumnal Equinox;2066-09-22
Brumal Solstice;2066-12-21
Vernal Equinox;2067-03-20
Aestival Solstice;2067-06-21
Autumnal Equinox;2067-09-22
Brumal Solstice;2067-12-21
Vernal Equinox;2068-03-19
Aestival Solstice;2068-06-20
Autumnal Equinox;2068-09-22
Brumal Solstice;2068-12-21
Vernal Equinox;2069-03-20
Aestival Solstice;2069-06-20
Autumnal Equinox;2069-09-22
Brumal Solstice;2069-12-21
Vernal Equinox;2070-03-20
Aestival Solstice;2070-06-20
Autumnal Equinox;2070-09-22
Brumal Solstice;2070-12-21
Vernal Equinox;2071-03-20
Aestival Solstice;2071-06-21
Autumnal Equinox;2071-09-22
Brumal Solstice;2071-12-21
Vernal Equinox;2072-03-19
Aestival Solstice;2072-06-20
Autumnal Equinox;2072-09-22
Brumal Solstice;2072-12-21
Vernal Equinox;2073-03-20
Aestival Solstice;2073-06-20
Autumnal Equinox;2073-09-22
Brumal Solstice;2073-12-21
Vernal Equinox;2074-03-20
Aestival Solstice;2074-06-20
Autumnal Equinox;2074-09-22
Brumal Solstice;2074-12-21
Vernal Equinox;2075-03-20
Aestival Solstice;2075-06-21
Autumnal Equinox;2075-09-22
Brumal Solstice;2075-12-21
Vernal Equinox;2076-03-19
Aestival Solstice;2076-06-20
Autumnal Equinox;2076-09-22
Brumal Solstice;2076-12-21
Vernal Equinox;2077-03-19
Aestival Solstice;2077-06-20
Autumnal Equinox;2077-09-22
Brumal Solstice;2077-12-21
Vernal Equinox;2078-03-20
Aestival Solstice;2078-06-20
Autumnal Equinox;2078-09-22
Brumal Solstice;2078-12-21
Vernal Equinox;2079-03-20
Aestival Solstice;2079-06-21
Autumnal Equinox;2079-09-22
Brumal Solstice;2079-12-21
Vernal Equinox;2080-03-19
Aestival Solstice;2080-06-20
Autumnal Equinox;2080-09-22
Brumal Solstice;2080-12-20
Vernal Equinox;2081-03-19
Aestival Solstice;2081-06-20
Autumnal Equinox;2081-09-22
Brumal Solstice;2081-12-21
Vernal Equinox;2082-03-20
Aestival Solstice;2082-06-20
Autumnal Equinox;2082-09-22
Brumal Solstice;2082-12-21
Vernal Equinox;2083-03-20
Aestival Solstice;2083-06-21
Autumnal Equinox;2083-09-22
Brumal Solstice;2083-12-21
Vernal Equinox;2084-03-19
Aestival Solstice;2084-06-20
Autumnal Equinox;2084-09-22
Brumal Solstice;2084-12-20
Vernal Equinox;2085-03-19
Aestival Solstice;2085-06-20
Autumnal Equinox;2085-09-22
Brumal Solstice;2085-12-21
Vernal Equinox;2086-03-20
Aestival Solstice;2086-06-20
Autumnal Equinox;2086-09-22
Brumal Solstice;2086-12-21
Vernal Equinox;2087-03-20
Aestival Solstice;2087-06-21
Autumnal Equinox;2087-09-22
Brumal Solstice;2087-12-21
Vernal Equinox;2088-03-19
Aestival Solstice;2088-06-20
Autumnal Equinox;2088-09-22
Brumal Solstice;2088-12-20
Vernal Equinox;2089-03-19
Aestival Solstice;2089-06-20
Autumnal Equinox;2089-09-22
Brumal Solstice;2089-12-21
Vernal Equinox;2090-03-20
Aestival Solstice;2090-06-20
Autumnal Equinox;2090-09-22
Brumal Solstice;2090-12-21
Vernal Equinox;2091-03-20
Aestival Solstice;2091-06-21
Autumnal Equinox;2091-09-22
Brumal Solstice;2091-12-21
Vernal Equinox;2092-03-19
Aestival Solstice;2092-06-20
Autumnal Equinox;2092-09-21
Brumal Solstice;2092-12-20
Vernal Equinox;2093-03-19
Aestival Solstice;2093-06-20
Autumnal Equinox;2093-09-22
Brumal Solstice;2093-12-21
Vernal Equinox;2094-03-20
Aestival Solstice;2094-06-20
Autumnal Equinox;2094-09-22
Brumal Solstice;2094-12-21
Vernal Equinox;2095-03-20
Aestival Solstice;2095-06-21
Autumnal Equinox;2095-09-22
Brumal Solstice;2095-12-21
Vernal Equinox;2096-03-19
Aestival Solstice;2096-06-20
Autumnal Equinox;2096-09-21
Brumal Solstice;2096-12-20
Vernal Equinox;2097-03-19
Aestival Solstice;2097-06-20
Autumnal Equinox;2097-09-22
Brumal Solstice;2097-12-21
Vernal Equinox;2098-03-20
Aestival Solstice;2098-06-20
Autumnal Equinox;2098-09-22
Brumal Solstice;2098-12-21
Vernal Equinox;2099-03-20
Aestival Solstice;2099-06-20
Autumnal Equinox;2099-09-22
Brumal Solstice;2099-12-21
Vernal Equinox;2100-03-20
Aestival Solstice;2100-06-21
Autumnal Equinox;2100-09-22
Brumal Solstice;2100-12-21
